frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
346,14.421,黒,黒3,1417.3,770.6,88.108,39.482,1,1
347,14.463,黒,黒3,1415.5,770.5,87.988,39.426,1,1
348,14.505,黒,黒3,1414.4,770.8,87.859,39.541,1,1
349,14.546,黒,黒3,1413.7,770.8,87.799,39.547,1,1
350,14.588,黒,黒3,1412.7,771.0,87.705,39.589,1,1
351,14.63,黒,黒3,1411.5,771.1,87.599,39.633,1,1
352,14.671,黒,黒3,1410.6,771.1,87.527,39.631,1,1
353,14.713,黒,黒3,1409.8,771.4,87.424,39.744,1,1
354,14.755,黒,黒3,1409.3,771.4,87.383,39.733,1,1
355,14.796,黒,黒3,1409.3,771.4,87.384,39.737,1,1
356,14.838,黒,黒3,1408.7,771.3,87.352,39.698,1,1
357,14.88,黒,黒3,1407.4,771.3,87.254,39.699,1,1
358,14.921,黒,黒3,1406.2,771.4,87.144,39.727,1,1
359,14.963,黒,黒3,1404.9,771.5,87.024,39.782,1,1
360,15.005,黒,黒3,1403.7,771.6,86.924,39.808,1,1
361,15.046,黒,黒3,1402.8,771.7,86.845,39.825,1,1
362,15.088,黒,黒3,1401.7,771.4,86.791,39.751,1,1
363,15.13,黒,黒3,1400.2,771.5,86.669,39.762,1,1
364,15.171,黒,黒3,1398.7,771.5,86.534,39.793,1,1
365,15.213,黒,黒3,1397.6,771.5,86.456,39.785,1,1
366,15.255,黒,黒3,1397.1,771.6,86.406,39.821,1,1
367,15.297,黒,黒3,1396.8,771.7,86.371,39.835,1,1
368,15.338,黒,黒3,1396.5,771.8,86.329,39.887,1,1
369,15.38,黒,黒3,1396.0,771.8,86.301,39.87,1,1
370,15.422,黒,黒3,1395.0,771.5,86.252,39.781,1,1
371,15.463,黒,黒3,1393.8,771.4,86.171,39.751,1,1
373,15.547,黒,黒3,1390.9,771.6,85.923,39.821,1,1
374,15.588,黒,黒3,1389.8,772.2,85.768,40.002,1,1
375,15.63,黒,黒3,1388.5,772.1,85.67,39.986,1,1
376,15.672,黒,黒3,1386.8,772.4,85.509,40.075,1,1
377,15.713,黒,黒3,1385.6,772.6,85.393,40.136,1,1
378,15.755,黒,黒3,1385.0,772.7,85.328,40.174,1,1
379,15.797,黒,黒3,1384.5,772.7,85.291,40.179,1,1
380,15.838,黒,黒3,1383.9,772.8,85.236,40.2,1,1
381,15.88,黒,黒3,1383.3,772.8,85.188,40.196,1,1
382,15.922,黒,黒3,1382.2,772.8,85.105,40.202,1,1
383,15.963,黒,黒3,1381.0,772.7,85.013,40.181,1,1
384,16.005,黒,黒3,1379.2,772.6,84.89,40.15,1,1
385,16.047,黒,黒3,1377.6,772.8,84.745,40.204,1,1
386,16.088,黒,黒3,1376.6,772.7,84.667,40.194,1,1
387,16.13,黒,黒3,1375.3,772.8,84.565,40.209,1,1
388,16.172,黒,黒3,1373.6,772.9,84.419,40.239,1,1
389,16.213,黒,黒3,1372.4,773.1,84.301,40.317,1,1
390,16.255,黒,黒3,1371.7,773.2,84.238,40.339,1,1
391,16.297,黒,黒3,1371.5,773.3,84.218,40.362,1,1
392,16.339,黒,黒3,1371.0,773.3,84.168,40.375,1,1
393,16.38,黒,黒3,1370.5,773.3,84.127,40.391,1,1
394,16.422,黒,黒3,1369.5,773.4,84.048,40.395,1,1
395,16.464,黒,黒3,1367.8,773.2,83.933,40.34,1,1
396,16.505,黒,黒3,1365.8,772.9,83.808,40.267,1,1
397,16.547,黒,黒3,1364.4,772.9,83.697,40.257,1,1
398,16.589,黒,黒3,1363.0,773.2,83.555,40.367,1,1
399,16.63,黒,黒3,1361.9,773.4,83.445,40.432,1,1
400,16.672,黒,黒3,1360.2,773.6,83.296,40.488,1,1
401,16.714,黒,黒3,1359.0,773.7,83.188,40.524,1,1
402,16.755,黒,黒3,1358.1,773.7,83.122,40.505,1,1
403,16.797,黒,黒3,1357.2,773.7,83.05,40.513,1,1
404,16.839,黒,黒3,1356.7,773.8,83.01,40.534,1,1
